Plant;Material ID;Groeﬂenklasse;ABCXYZ;Calc_ABCXYZ
0305;KAS1590030;00;N/A;CCZ
2316;WIDBM2030ANK;;N/A;CCZ
0860;SS35M0120CB;59;AZ;CCZ
0631;FBLC2280050040;;CZ;CCZ
2376;DW0889008035502;;AY;AAY
0305;GST060302903;00;N/A;CCZ
2316;KRN406417510CRE;;N/A;CCZ
0377;HW0039110060036;09;N/A;CCZ
0377;HC0547250150100;09;N/A;CCZ
0305;HW0039160080040;09;N/A;CCZ
0625;KRN013503616MOE;;N/A;CCZ
2316;RB119160000001;;N/A;CCZ
0853;S400H004020Q;49;N/A;CCZ
0441;FZBPM804078700;50;CZ;CCZ
2316;PCL44040761C01;;N/A;CCZ
0305;HC0547160160125;08;N/A;CCZ
0305;KRN610012523C1E;;N/A;CCZ
0376;HW0576250100050;10;N/A;CCZ
0305;HC0149180080045;10;N/A;CCZ
0550;SS35M0060CBPK;15;BZ;CCZ
2376;DW2191030035502;;AZ;AAZ
2760;EN02134021104A5;;CZ;CCZ
0490;SS42M003015BPK;15;CZ;CCZ
0411;KRN057008016MOE;;N/A;CCZ
0376;HC0149030030020;14;N/A;CCZ
0400;RTPVCU063030T05;;CZ;CCZ
0631;SS35M0060BB;93;BY;CCZ
0305;KRN273012513CRD;;N/A;CCZ
2316;HC0039100060050;09;N/A;CCZ
0376;FWNCS016830061;;N/A;CCZ
0305;MPF83218;;N/A;CCZ
0305;HC0039060060025;10;N/A;CCZ
2316;HC0547100050030;09;N/A;CCZ
3100;SS2350050M6B;19;AZ;CBZ
2316;RB722701500B;;N/A;CCZ
0376;KRN0483063D;;N/A;CCZ
0305;HC0547200100040;00;N/A;CCZ
0377;EN08890054904A;;N/A;CCZ
2316;EN11430085671A;;N/A;CCZ
0490;COS35M00301500P;92;CZ;CCZ
2760;ST4301100006001;;AY;AAY
3100;HC0039100030030;04;CZ;CCZ
0376;BEW305007610296;;N/A;CCZ
0305;HC0038030030020;09;N/A;CCZ
0613;SS70M0030CBPK;20;AY;ABY
3100;HC0547080060040;05;BY;CCY
0377;HC0149180120040;13;N/A;CCZ
0490;SDD110120BBPK;92;CZ;CCZ
0377;MPF81822;;N/A;CCZ
3100;SRG057615900080;12;CY;CCZ
0860;RB658207000002;;BZ;ABZ
2316;HC0039060060050;11;N/A;CCZ
2376;HW057640040080G;10;CZ;CCZ
0631;WFB00380200005;17;AY;BAY
0835;GST060302905;06;BY;ABY
0416;HC0149120120050;12;CZ;CCZ
2316;FSO45710021340;;N/A;CCZ
2316;DW0889011052001;;N/A;CCZ
0641;HC0149150150050;15;N/A;CCZ
0613;SS69Q030025Q;91;CY;BBZ
2316;HC0149250100040;14;N/A;CCZ
3100;SS235025025Q;92;BZ;CCZ
2316;KRN219122216MOD;;N/A;CCZ
2316;HHBBYA227160;;N/A;CCZ
0490;HC0547140060040;09;CZ;CCZ
3100;GST1590045P;12;CY;BBZ
2316;HC0547300300080;07;N/A;CCZ
2760;RT4401054001501;;BZ;BCZ
0830;UP606005003003;;AZ;CCZ
0305;KRN051008816MOE;;N/A;CCZ
0490;SS2350100BBPKW;24;BX;CBY
0305;DW10800063355;;N/A;CCZ
0162;RB430112200RIM;;N/A;CCZ
2316;SONISA0351;;N/A;CCZ
0305;HC0039100100036;07;N/A;CCZ
0305;HWFT50005005029;10;N/A;CCZ
0445;UNAPVCU0161011G;;N/A;CCZ
0641;HC0149150100030;08;N/A;CCZ
0613;SS35M0200CBPK;50;AY;AAY
0490;SS35M0200CB;11;AY;AAY
0305;HC0149080060050;00;N/A;CCZ
0490;SS2350040Z07;25;CZ;CCZ
2316;RB440410000BGPO;;N/A;CCZ
0613;SS35C0100CBPK;49;AY;AAY
2316;HC0547060040020;04;N/A;CCZ
0853;KRN108028013CRE;;N/A;CCZ
0613;SS35M0030ABPK;92;BZ;CCZ
0520;FB0122060012B;03;CZ;ACZ
3100;SS69Q1500Q;95;N/A;CCZ
0305;DW1016005635502;;N/A;CCZ
0853;FB0038100025;;BX;BBY
0410;SO45410501;;CZ;CCZ
0490;SS2350030C6B;50;N/A;CCZ
2760;FB606007015PE;;AY;BAZ
0376;HC0547100050060;06;N/A;CCZ
2641;HW057606004040G;08;AZ;BCZ
0445;KRN298545013CRE;;N/A;CCZ
0460;KRN082511013CRE;;N/A;CCZ
0713;HC0547120120080;59;N/A;CCZ
0490;SS35M014015B;92;N/A;CCZ
0305;HC0039090050020;10;N/A;CCZ
0377;SH200200100355;99;N/A;CCZ
0400;KRN152404516MOE;;N/A;CCZ
3100;HW057610010010G;10;BY;AAY
0305;MPF32324;;N/A;CCZ
2376;HW057610005040G;13;CY;CCZ
0830;FB0122010006B;06;CZ;CCZ
0701;KRN559012513CRE;;N/A;CCZ
2316;REWCS16813904E;;N/A;CCZ
0162;HL430114001120;;CZ;CCZ
2316;HC0149060030040;14;N/A;CCZ
0490;SS235015012B;14;CZ;CCZ
0490;HC0149070040020;11;N/A;CCZ
0490;NW244506305;;N/A;CCZ
0625;KRN244536013CRE;;N/A;CCZ
0377;HW0576120120040;06;N/A;CCZ
0162;FSO43070273010;;N/A;CCZ
0701;ELPVCU04045TP;;CZ;CCZ
0631;SS35M0030CBPK;29;AY;AAY
0305;CAW042505080KL;;N/A;CCZ
0613;SS2350100CB;29;AY;AAY
0305;KRN508045016MOE;;N/A;CCZ
3100;SS2350220Q;30;DZ;CCZ
0701;FB0122090012B;03;CZ;CCZ
2316;HL454107100530;;N/A;CCZ
0377;HC0149120080030;13;N/A;CCZ
0490;HC0149050050025;13;N/A;CCZ
0677;KRN020002913CRE;;N/A;CCZ
2316;HW0576100060045;12;CZ;CCZ
0376;HC0149100080050;14;N/A;CCZ
0305;KRN419075016MOE;;N/A;CCZ
2641;HW057610006088G;11;N/A;CCZ
2316;SRG057611430071;06;N/A;CCZ
0490;SDD11015010BPK;19;CZ;CCZ
3100;SS2350080CBPK;25;AY;AAX
0490;HC0547060060060;07;CZ;CCZ
2316;DW0700012552004;;N/A;CCZ
0490;SS42M0150CB;96;N/A;CCZ
0377;EN03000030071;;N/A;CCZ
0305;PR930200015N05;;N/A;CCZ
2760;ST4301035003504;;BZ;BBZ
0490;SS46M0050M4B;30;N/A;CCZ
0830;SI221001300;;N/A;CCZ
0713;SO45410101;;N/A;CCZ
0400;ELISIF063451;;N/A;CCZ
0316;KRN219136013CRE;;N/A;CCZ
0582;XHDM0004148;;N/A;CCZ
0441;FZBZM50014;;CZ;CCZ
0490;SS42M003015B;59;N/A;CCZ
0377;MPF82711;;N/A;CCZ
0490;SDD110045BBPK;95;CZ;CCZ
0305;HC0039100080025;06;N/A;CCZ
0305;BEW305003370401;;N/A;CCZ
0490;SS35M00501519B;10;CZ;CCZ
0376;HW0576110110040;99;N/A;CCZ
0860;FB0122070006B;06;CZ;CCZ
0376;HPL0150015NGVC;;N/A;CCZ
0305;HC05470700503PK;11;N/A;CCZ
0631;SS3550100AB;59;BZ;BBZ
2316;REW44042541042W;;N/A;CCZ
3100;IB00380200003;13;AY;AAY
2376;HW0576140140056;09;CZ;CCZ
0305;HC0547200200050;11;N/A;CCZ
0490;SCUT1012015BPK;15;CZ;CCZ
0518;FB004A20010RC;;AZ;CCZ
2316;SRG025450800050;00;N/A;CCZ
0162;FB440405012CT;;N/A;CCZ
0842;HC0149200120100;04;N/A;CCZ
0400;ACCHENKTI24N;;N/A;CCZ
0377;HW0039080080050;06;N/A;CCZ
2641;HW057612006080G;99;AZ;AAZ
0828;KRN017203213CRE;;N/A;CCZ
3100;WFB00380100006;17;BZ;BCZ
3100;HC0039045045030;08;CY;CCZ
0305;HW0039140070050;99;N/A;CCZ
0376;GST4064088;12;N/A;CCZ
0376;MPH19409;;N/A;CCZ
0480;KRN406440013CRE;;N/A;CCZ
0305;HW057608008040G;12;N/A;CCZ
0441;FZBPB251597600;20;CZ;CCZ
0305;MPF80704FPM;;N/A;CCZ
0305;HC003907005020V;08;N/A;CCZ
2760;RT4404060302004;;AY;AAZ
0490;SS46M0200BBPK;20;BY;CCY
2316;HC0149150150040;07;N/A;CCZ
0853;SS2350060M6B;95;BZ;CCZ
2316;HC0149100050030;10;N/A;CCZ
0305;PRN0400050EN;;N/A;CCZ
3100;WFB00380140005;03;AX;AAY
2376;HW057610010040G;10;AY;AAY
0490;SS355003015B;30;N/A;CCZ
0490;HW8603050030060;12;N/A;CCZ
0376;HW0039400400200;05;N/A;CCZ
0672;KRN457016016MOE;;N/A;CCZ
0713;FB0122012004B;03;N/A;CCZ
0305;DW0889020052003;;N/A;CCZ
0853;SS35M0150BBPK;60;AY;CCY
2316;HW0576140140050;99;CZ;CCZ
0641;HC0547160160100;59;N/A;CCZ
0860;KRN219114216MOE;;N/A;CCZ
0376;HC0547120050050;11;N/A;CCZ
0305;REP1L0603W2E;;N/A;CCZ
0305;HW0576060060032;06;N/A;CCZ
0480;KRN273030013CRE;;N/A;CCZ
2316;GST7110080SW;00;N/A;CCZ
0672;FTRCS00650161;;N/A;CCZ
0631;SCUT10150CBPK;15;BZ;BBZ
0860;SS2350080AB;10;AY;BCY
2376;KRN057004016MOE;;N/A;CCZ
0613;SS2350050AB;49;BY;AAY
2376;HW057609009063G;05;CZ;CBZ
0860;KRN044504513CR1;;N/A;CCZ
2760;RT4301076101501;;BY;BBY
2316;HC0547350250120;11;CZ;CCZ
2316;DW24450500520CH;;N/A;CCZ
3100;SS3550650Q;96;CZ;CCZ
0416;GST0761029;06;CZ;CCZ
2316;HC0149160080040;00;N/A;CCZ
3100;HC0039100100030;14;AY;AAY
0830;IB00380200002;17;BZ;CCZ
0305;GST7110080SW;06;N/A;CCZ
0376;HW0039220220142;99;N/A;CCZ
2316;KRN038005016MOE;;N/A;CCZ
2316;GR00350250WBSE2;;N/A;CCZ
0376;HC0149040040015;04;N/A;CCZ
0305;HC0547220220063;14;N/A;CCZ
0853;SS35M0100BB;50;AZ;BBZ
0162;RB60260400PE;;CZ;CCZ
0830;KRN051005613CRE;;N/A;CCZ
0305;HWSG50200100080;15;N/A;CCZ
0377;HWSG50250150160;14;N/A;CCZ
0552;SS35M0080CB;93;AX;CAY
0713;HW0576090050040;00;N/A;CCZ
0613;SS3550080M4B;89;CZ;BBZ
0162;PSR457100150A01;;N/A;CCZ
3100;HW057612008080G;15;BY;CCZ
2377;KRN267025013CRE;;N/A;CCZ
0641;HC0547200100100;14;N/A;CCZ
0305;DW1210008052002;;N/A;CCZ
0305;HW057608004080G;15;N/A;CCZ
0400;FB0122030010B;04;CZ;CCZ
0853;GST1016029;12;CZ;BBZ
0162;F0RS48280100;;N/A;CCZ
0480;HC0039090050030;05;CZ;CCZ
2376;HW057640030016G;99;CZ;CCZ
0641;HC0149180120060;15;N/A;CCZ
0490;HC0149180120080;10;N/A;CCZ
0305;GST0570063;06;N/A;CCZ
0490;SDD110047BBPKBM;00;AY;AAZ
0470;KRN051012516MOE;;N/A;CCZ
0305;RP1653BR;00;N/A;CCZ
0400;REWPPR225160C2F;;N/A;CCZ
0830;TEPVCU110901G;;CZ;CCZ
0305;FWNCS002691601;;N/A;CCZ
2316;PR9441616305;;N/A;CCZ
0830;SS2350070B;91;CZ;CCZ
0163;RB60820650PE;;AY;AAZ
0162;HB614N0090D;;CZ;CCZ
0162;RT4571060303202;;N/A;CCZ
0162;AU4301100065007;;N/A;CCZ
0305;DW5080016035501;;N/A;CCZ
0305;KRN021304013CRE;;N/A;CCZ
2641;HW057608008045G;05;BZ;CBZ
0162;ST43011000040;;N/A;CCZ
0305;SRG057632390088;99;N/A;CCZ
0490;HC0149100100030;10;CZ;CCZ
0480;KRN057006310CR1;;N/A;CCZ
0377;HC0547250100050;10;N/A;CCZ
0641;HW0576100050071;10;N/A;CCZ
0842;ST606005005002;;N/A;CCZ
2316;RB443504100B;;N/A;CCZ
0305;HC0547140060060;13;N/A;CCZ
2316;KON02690250;00;N/A;CCZ
3100;HW057606006040G;10;BY;ABZ
2760;FB606015008PE;;BY;BBY
0441;FZBPM809517000;99;BY;CCZ
0853;KRN219108016MOE;;N/A;CCZ
2316;DW2445016035502;;N/A;CCZ
3100;HC0039120120060;12;AY;AAZ
0490;SQ38T010010B;59;N/A;CCZ
0701;RB050346000;;N/A;CCZ
0582;XHDM0008321;;CZ;CCZ
0305;HC0039070050020;12;N/A;CCZ
0860;SS2350150CB;25;AY;AAY
0490;HC0149090090080;59;N/A;CCZ
0162;BEW45410570203;;N/A;CCZ
0376;FBLS2350020016;;N/A;CCZ
2316;CMP50150ARE;;N/A;CCZ
0853;RB722704000001;;BZ;ABZ
0840;FWNCS016830161;;CZ;CCZ
0625;KRN076102913CRE;;N/A;CCZ
0613;SS2350150BBPK;80;AY;AAY
2641;HW057615010010G;14;AZ;CBZ
2377;KRN355628016MOE;;N/A;CCZ
0305;HC0038015015015;14;N/A;CCZ
2641;HW057607007063G;59;BZ;CBZ
2760;EN03370032004A2;;CZ;BCZ
0581;XHDM0003278;;N/A;CCZ
0377;HW0576180180080;05;N/A;CCZ
0853;SS3550030M6B;24;CZ;CCZ
0490;SS35M00401019B;10;BX;AAY
2316;FB1191080040B;04;N/A;CCZ
0490;SS35M0250M4B;79;CZ;CCZ
0490;SS235025010Q;20;CZ;CCZ
0840;SRG025405700029;12;N/A;CCZ
0490;SDD11010015BP;91;N/A;CCZ
0376;HW0576400200120;13;N/A;CCZ
0162;RB722509000002;;N/A;CCZ
2316;FB057003002002;;N/A;CCZ
2376;HW057615010050G;13;CZ;CCZ
0853;SS70M0030CB;92;AY;ABY
0305;HC0039070020020;10;N/A;CCZ
0835;SS2350060CB;80;AY;AAY
2316;HC0149070030040;14;N/A;CCZ
0631;SCUT20250CBPK;60;AY;ABZ
3100;SS2350040AB;60;BY;ABZ
0376;EN02667039106A;;N/A;CCZ
0410;KRA35561113GRB6;;N/A;CCZ
0490;SDD11004512BPK;79;N/A;CCZ
0305;HC0039045045040;09;N/A;CCZ
0377;FBLC2280065006;;N/A;CCZ
0305;HW0039250250160;99;N/A;CCZ
0552;SS2350200CBPK;59;CY;CCZ
0490;SS3550150B;39;CZ;CCZ
0828;KRN139720013CRE;;N/A;CCZ
0376;HC0149140060060;04;N/A;CCZ
0305;HC0149160090040;05;N/A;CCZ
0490;SS35M00501521B;39;CZ;CCZ
0377;HC0149300200060;04;N/A;CCZ
0377;HC0149120060060;05;N/A;CCZ
0550;KRN042405016MOE;;N/A;CCZ
0162;S401600300A02;;N/A;CCZ
0490;HC0038040040030;59;CZ;CCZ
2316;GST1590071P;08;N/A;CCZ
3100;COCUT202001520;91;AZ;CCZ
0376;HW0039400400125;04;N/A;CCZ
0305;HC0149400200080;10;N/A;CCZ
2641;HW057610010012G;09;AZ;AAZ
0305;HC0547150075100;09;N/A;CCZ
0377;GST0700036;12;N/A;CCZ
0641;HC0547100100100;12;N/A;CCZ
0400;SVF2G2508016BH1;;N/A;CCZ
0305;HW057610006063G;12;N/A;CCZ
0377;SH110110045460;11;N/A;CCZ
0830;KRN108016013CRE;;N/A;CCZ
0376;HW0576200100125;99;N/A;CCZ
0376;EN10160080841A;;N/A;CCZ
2316;HC0038120120040;00;N/A;CCZ
2316;RB410401200BH8;;N/A;CCZ
3110;RB430114000;;AY;AAY
0490;SQ69T015015B;91;N/A;CCZ
2316;HC0149100030040;15;N/A;CCZ
0490;KRN121017516MOE;;N/A;CCZ
0416;GST0380026P;12;CZ;CCZ
0410;KRA21911826GRB6;;N/A;CCZ
0416;THRODCS10GV;;CZ;CCZ
3100;AE003815012;00;BZ;BBZ
0830;XGEA0337026BL2;;BZ;CCZ
0490;HC014902502520P;99;N/A;CCZ
0490;COS35M00801000P;12;CZ;CCZ
0519;S508300600MCHD;;BY;CCZ
0162;EN11430026006A;;N/A;CCZ
0490;SD355010015BPK;30;N/A;CCZ
0550;KRN610045013CRE;;N/A;CCZ
2316;RT4301040001008;;N/A;CCZ
0441;FZBPB251545900;00;CZ;CCZ
0853;SS2350040M4B;90;CZ;CCZ
0480;SDD110060BBPK;14;BZ;BBZ
0400;PCLBK35671330;;CZ;CCZ
0460;ORIEPDM140G2;;N/A;CCZ
0162;RBPC016NA;35;N/A;CCZ
0305;FBLC2280500016;;N/A;CCZ
0376;SH0600600293551;14;N/A;CCZ
0162;FB608206010PE;;CZ;CCZ
0305;SH060060050460;10;N/A;CCZ
0162;S508301500MTOP;;BZ;CCZ
0490;SS235008020B;49;BZ;CCZ
0441;FZBPB251386000;25;CZ;CCZ
0480;KRN038004510CRE;;N/A;CCZ
0441;FZBPE407386000;35;CZ;CCZ
0162;EN11430171206A;;N/A;CCZ
0490;SDD110200B;91;CZ;CCZ
0305;HWFT50006006029;11;N/A;CCZ
0490;RB050345000;;N/A;CCZ
0305;KRN063508016MOE;;N/A;CCZ
0853;SB0122030B;;AY;AAY
0376;HW0039100100050;05;N/A;CCZ
0377;HC0149120080030;15;N/A;CCZ
0490;SDD110100BBPKW;15;CZ;CCZ
0520;SD420006015BPKZ;96;CZ;CCZ
2316;ACCGARDDLGR;;N/A;CCZ
2316;HC0547160160040;15;N/A;CCZ
0460;KRN133006316MOE;;N/A;CCZ
0582;XHDM0007836;;CZ;CCZ
0305;KRN1683142D3;;N/A;CCZ
0641;HC0149300100050;12;N/A;CCZ
0641;HC0149140140063;99;N/A;CCZ
0631;KRN063508813CRE;;N/A;CCZ
0853;KRN063507113CRE;;N/A;CCZ
0305;HC0547250100080;14;N/A;CCZ
3100;COS42M0200150BK;93;AZ;CCZ
0713;HW0576260140063;99;N/A;CCZ
0490;COS23501201000;80;CZ;CCZ
0305;HC0547100060100;59;N/A;CCZ
0625;UNNPVCU020G;;N/A;CCZ
0713;FB0122110040B;00;N/A;CCZ
2641;KRN139728013CRE;;N/A;CCZ
0305;HW057612008056G;08;N/A;CCZ
2316;RB658740000FL;;N/A;CCZ
2376;DW082508035505;;AY;AAY
0376;HC0149300300100;04;N/A;CCZ
0713;HC0149140040040;99;N/A;CCZ
0490;HC0149070070080;13;CZ;CCZ
0490;HC0547140060030;06;CZ;CCZ
0377;HC0149080080063;12;N/A;CCZ
0410;HC0547110110060;05;BY;ABZ
2316;SRG025403180026;00;N/A;CCZ
2316;RP300651;;N/A;CCZ
0305;HW0039140080080;59;N/A;CCZ
0828;KRN033702913CRE;;N/A;CCZ
0490;SS2NC0050B;25;N/A;CCZ
3100;SS2350200Q;14;CZ;CCZ
0713;REW45410600332W;;N/A;CCZ
0701;K1_PPM_FT;;CZ;CCZ
0490;SCUT20100B;12;N/A;CCZ
0376;HC0547140140030;09;N/A;CCZ
0713;RTPPF14003005;;N/A;CCZ
0581;XHDM0008457;;N/A;CCZ
0641;HW0576100050050;06;N/A;CCZ
0162;EN16830142762;;N/A;CCZ
2376;HW057620012016G;99;BZ;CCZ
0305;HC0547040040040;04;N/A;CCZ
0631;FWNCS004831001;;CZ;CCZ
0441;FZBPB250857600;99;CZ;CCZ
2316;HC0038140140050;08;N/A;CCZ
0490;SDD110040C25BPK;30;BX;BBX
0830;FB057006002002;;CZ;ACZ
0631;UNMIG03213N;;CZ;CCZ
0163;BU493K026014;;CZ;CCZ
0162;HB440401000IM;;N/A;CCZ
0316;KRN193730013CRE;;N/A;CCZ
0631;SS235030M4BPK5T;15;N/A;CCZ
2760;S500500300C14;;BZ;AAZ
2760;FB4301100025NE;;CZ;CBZ
0701;UNAIFLX0320257;;N/A;CCZ
0835;TEPPH032901G;;CZ;CCZ
0490;SP6060B12102721;;CY;CCZ
0520;SD2400120BBPK;60;BY;BBY
0305;HW0576150150063;10;N/A;CCZ
0520;SD420006015BPKZ;19;CZ;CCZ
0305;HPL0150015NGVBL;;N/A;CCZ
0853;SDD110040BBPK;97;AY;AAY
2760;RT4404073005201;;DZ;CCZ
0446;WFB00380260003;23;BZ;CBZ
2316;KRN0337080D;;N/A;CCZ
3100;SS355070025Q;00;CZ;CCZ
0552;SS2350120CBPK;12;BY;ABY
0376;MPF90230;;N/A;CCZ
0377;HW0576070070050;09;N/A;CCZ
0860;HL440416000900;;N/A;CCZ
0631;SDD110080CBPK;96;AY;AAY
0305;RP1658BR;99;N/A;CCZ
0842;KRN021302313CRE;;N/A;CCZ
0162;REW304L2502001X;;N/A;CCZ
0490;HC0547150150050;00;CZ;CCZ
0445;FB4301020010;;CZ;CCZ
0411;KRN051011016MOE;;N/A;CCZ
2316;FB0569090020B;00;N/A;CCZ
0490;SS35N004015B;95;N/A;CCZ
0840;KRN508085016MOE;;N/A;CCZ
0853;SCORB004015B;50;AZ;AAZ
0305;HW0039180100063;59;N/A;CCZ
0490;HC0149030030040;13;N/A;CCZ
0641;HC0149220120060;12;N/A;CCZ
0490;RB60600100PE;;CY;ABY
0377;SH060060040460;04;N/A;CCZ
2376;HW057616016016G;04;AZ;BAZ
0860;SS35M0050CB;24;AY;AAY
0713;HC0149120120060;13;N/A;CCZ
0490;COS23501201000;11;CZ;CCZ
0830;GSKEPDM040F1;;N/A;CCZ
0490;COS35M00501500P;20;N/A;CCZ
2316;DW1270006352002;;N/A;CCZ
2760;FB4301030020NE;;AY;AAY
0830;KRN508025016MOE;;N/A;CCZ
0701;RB057012000001;;CZ;CCZ
0376;HW0576200120125;07;N/A;CCZ
0631;SS2350060BBPK;96;AY;BBY
3100;GST0172018;08;CZ;CCZ
0641;HW0576100060088;14;N/A;CCZ
0162;F0RTR43010040;;N/A;CCZ
0376;HC0149060040040;00;N/A;CCZ
0641;HC0547140070080;08;N/A;CCZ
0162;BEW4404219130N;;N/A;CCZ
0490;SS235020010Q;60;CZ;CCZ
0376;HW0039250150125;07;N/A;CCZ
0460;KRN168332016MOE;;N/A;CCZ
0162;FSO43070129016;;N/A;CCZ
0860;UPUCS0624540;00;CZ;CCZ
0830;ACCSS07586;;CZ;CCZ
0162;S440401000C01;;N/A;CCZ
0376;GST1080045;12;N/A;CCZ
3100;HC0547120060080;10;AX;AAY
0631;SDD110100ABPK;12;BZ;CCZ
0410;COS35M00402000P;29;AZ;CCZ
0701;ELRPVCU0504090G;;CZ;CCZ
0376;SH050050060355;59;N/A;CCZ
0701;REPVCC0250201C;;N/A;CCZ
0377;HC0547200040030;10;N/A;CCZ
2316;FB0569100040B;03;N/A;CCZ
0672;HC0149100100100;12;N/A;CCZ
0400;RTPVCU032024E05;;N/A;CCZ
0631;SS35M0040M4B;12;CZ;CCZ
2316;PRN0700010EN;;N/A;CCZ
2316;ST4404060006001;;N/A;CCZ
0613;SS70M0050CB;29;AY;BAZ
0582;KRN273008013CRE;;N/A;CCZ
0305;HW057612012071G;06;N/A;CCZ
0631;SS2350150AB;49;AY;ABY
0410;KRN177817516MOE;;N/A;CCZ
0480;SB430103000B;;BZ;AAY
2316;WRGCS060029;;N/A;CCZ
0377;HW0576080080050;14;N/A;CCZ
0162;REW304L0500251S;;N/A;CCZ
0490;SS2350060CB;79;BZ;CCZ
0490;SS2350050CB;10;CZ;CCZ
0490;SS26N0060B;15;N/A;CCZ
2760;ST4301040003001;;AY;AAY
3100;AE003808008;00;AX;AAY
0305;HW0576200100142;00;N/A;CCZ
0377;DW0950008835502;;N/A;CCZ
0613;SS2350120M4B;96;CZ;CCZ
0581;S400H006025Q;30;N/A;CCZ
0376;HC0547140140050;13;N/A;CCZ
0410;SS355050025Q;50;CZ;CCZ
0376;HW0039070070071;04;N/A;CCZ
3100;SS355035010Q;97;CZ;CCZ
0490;SD355003015BPK;19;N/A;CCZ
0441;FZBPM8040211000;10;AZ;CCZ
0640;SS3550060Q;97;N/A;CCZ
0490;SS35M0040CBPK;89;AX;AAX
2316;HC0149080060025;15;N/A;CCZ
0480;KRN042405016MOD;;N/A;CCZ
0701;RB770912000001;;CZ;CCZ
2641;HW057609009071G;09;BZ;CBZ
0631;KRN095012516MOE;;N/A;CCZ
2316;RT4541114304004;;N/A;CCZ
0305;SRG025412100032;08;N/A;CCZ
0376;HC0149200100100;14;N/A;CCZ
2316;HC0547040040040;08;CZ;CCZ
0377;HC0149140080030;07;N/A;CCZ
0377;SRG025417780100;00;N/A;CCZ
0305;PRN0450020ECDL;;N/A;CCZ
0376;SRG025407610023;06;N/A;CCZ
2316;HC0149080060030;59;N/A;CCZ
0376;HW0039200120125;04;N/A;CCZ
0713;HC0149120120100;12;N/A;CCZ
0305;HW057625025080G;59;N/A;CCZ
0376;FGN133006305;;N/A;CCZ
2376;HL446205000250;;N/A;CCZ
0377;HC0149090050050;06;N/A;CCZ
0860;WFB00380140008;12;BZ;CCZ
0162;REW304L0400151S;;N/A;CCZ
0490;SS35M015015BPK;24;BZ;CCZ
0677;KRN355685013CRE;;N/A;CCZ
0412;S400H060025Q;39;N/A;CCZ
2316;HC0149100040020;59;N/A;CCZ
0853;KRN508055016MOE;;N/A;CCZ
0410;HC0547080040030;99;CZ;CCZ
0490;GST060304501;06;CZ;CCZ
0631;SS35M0030BB;20;AX;ABY
0677;RTDRAI100CO1;;N/A;CCZ
3100;SS35M0050M4BPK;89;CZ;CCZ
0305;HW057615015088G;05;N/A;CCZ
2316;HB056906500B;;N/A;CCZ
0613;SS2350060ABPK;19;AY;AAY
0490;SCUT20060CBPK;90;N/A;CCZ
0520;KRN031804013CRD;;N/A;CCZ
3100;SS2350850Q;60;N/A;CCZ
0830;BELX05045S;;N/A;CCZ
0842;ST1001000300BK;;CZ;CCZ
2377;KRN610020013CRE;;N/A;CCZ
0377;FWNCS008890061;;N/A;CCZ
0490;HC0149180180100;15;N/A;CCZ
3110;RB446203000;;CZ;CCZ
0480;RB430500400BIM;;CZ;BBZ
0305;HW0576070070088;08;N/A;CCZ
0377;HC0149160160063;14;N/A;CCZ
0305;KRN026902313CR1;;N/A;CCZ
0490;SCUT10180CBPK;94;N/A;CCZ
0860;GST088904525;08;CZ;CCZ
0400;RB071502000B;;CZ;CCZ
0162;RT4301016002002;;CZ;CCZ
0305;HW0576400200160;07;N/A;CCZ
0625;KRN159022213CRE;;N/A;CCZ
0305;HC0039200080030;11;N/A;CCZ
0490;SQ38T005015BPK;96;N/A;CCZ
0490;SS35C012015BPK;79;N/A;CCZ
2316;HC0038016016015;04;N/A;CCZ
0550;KRN323922216MOE;;N/A;CCZ
0410;KRN139720016MOE;;N/A;CCZ
0490;SS355008020B;40;CZ;CCZ
0641;HC0149140060030;59;N/A;CCZ
0613;SS2350030BB;89;BY;BBY
2316;FB81590091031HT;;N/A;CCZ
0376;KRN1016040D;;N/A;CCZ
0410;KRN298560013CRE;;N/A;CCZ
0305;HC0149200200080;06;N/A;CCZ
0550;UPUCS0705040;12;AY;BAY
0613;SS2350040M6B;39;DZ;CCZ
0305;HC0149260140080;99;N/A;CCZ
0713;S457100500C02;;N/A;CCZ
0376;HW0576090050050;15;N/A;CCZ
0830;SS235020015BPK;19;CZ;CCZ
3100;IB05770140IPEAR;21;CZ;CCZ
0631;SS35M0050M4BPK;19;BZ;BCZ
2316;HC0547180100100;00;N/A;CCZ
0490;SCUT10080CBPKLD;80;N/A;CCZ
2376;HW057616008010G;05;AY;AAY
0400;S575400600C02;;N/A;CCZ
0490;SS2350100ABPK;96;AX;BAY
2316;HC0547180120100;07;N/A;CCZ
0490;SS46M0200CBPK;11;AY;ABY
0641;HC0149100100040;13;N/A;CCZ
0410;S500H006020Q;00;CZ;BAZ
0641;HW0576160090071;12;N/A;CCZ
2760;RB20071400PE;;BZ;BBZ
0377;HW0576120080050;04;N/A;CCZ
0411;KRN114314213CRE;;N/A;CCZ
0625;SX400035020QBL;91;CZ;CCZ
0490;SS35M004012BPKK;91;CZ;CCZ
2316;GST1937032P;08;N/A;CCZ
0835;SS2350060CB;25;AY;AAY
0412;COS35M00601500;39;N/A;CCZ
0411;NIBTBGV0200801;;CZ;CBZ
2316;HC0038060040020;04;N/A;CCZ
0410;KRN030006313CRE;;N/A;CCZ
