# id	formula	cells	expected
# expected: n:<num> s:<text> b:true|false e:NAME|VALUE|DIV|NUM|NA|REF  implemented
# generated from mog compute-functions names + seed eval cases. Re-run extract-mog-formula-cases.py
DOLLAR.1234	=DOLLAR(1234.5,1)		s:$1,234.5
FIXED.1234	=FIXED(1234.5,1,TRUE)		s:1234.5
NUMBERVALUE.comma	=NUMBERVALUE("1,234.5")		n:1234.5
DAYS360.jul	=DAYS360(DATE(2012,1,1),DATE(2012,7,1))		n:180
YEARFRAC.30	=YEARFRAC(DATE(2012,1,1),DATE(2012,7,1),0)		n:0.5
ISOWEEKNUM.2024	=ISOWEEKNUM(DATE(2024,1,1))		n:1
AVEDEV.123	=AVEDEV(1,2,3)		n:0.6666666666666666
DEVSQ.123	=DEVSQ(1,2,3)		n:2
GEOMEAN.124	=GEOMEAN(1,2,4)		n:2
HARMEAN.124	=HARMEAN(1,4)		n:1.6
STANDARDIZE.5	=STANDARDIZE(5,3,2)		n:1
CEILING.MATH.4	=CEILING.MATH(4.3)		n:5
FLOOR.MATH.4	=FLOOR.MATH(4.7)		n:4
CEILING.PRECISE.3	=CEILING.PRECISE(3.2)		n:4
FLOOR.PRECISE.3	=FLOOR.PRECISE(3.2)		n:3
ISO.CEILING.3	=ISO.CEILING(3.2)		n:4
AVERAGEA.true	=AVERAGEA(1,TRUE)		n:1
MINA.true	=MINA(1,TRUE)		n:1
MAXA.true	=MAXA(1,TRUE)		n:1
ERF.PRECISE.0	=ERF.PRECISE(0)		n:0
ERFC.PRECISE.0	=ERFC.PRECISE(0)		n:1
ERF.0	=ERF(0)		n:0
ERFC.0	=ERFC(0)		n:1
QUARTILE.EXC.mid	=QUARTILE.EXC(A1:A3,2)	A1=n:1;A2=n:2;A3=n:3	n:2
PERCENTILE.INC.mid	=PERCENTILE.INC(A1:A3,0.5)	A1=n:1;A2=n:2;A3=n:3	n:2
PERCENTILE.EXC.need	=PERCENTILE.EXC(A1:A5,0.5)	A1=n:1;A2=n:2;A3=n:3;A4=n:4;A5=n:5	n:3
STDEV.S.123	=STDEV.S(1,2,3)		n:1
STDEV.P.123	=STDEV.P(1,2,3)		n:0.816496580927726
VAR.S.123	=VAR.S(1,2,3)		n:1
VAR.P.123	=VAR.P(1,2,3)		n:0.6666666666666666
SUMX2MY2.ab	=SUMX2MY2(A1:A2,B1:B2)	A1=n:2;A2=n:3;B1=n:1;B2=n:4	n:-4
SUMX2PY2.ab	=SUMX2PY2(A1:A2,B1:B2)	A1=n:2;A2=n:3;B1=n:1;B2=n:4	n:30
SUMXMY2.ab	=SUMXMY2(A1:A2,B1:B2)	A1=n:2;A2=n:3;B1=n:1;B2=n:4	n:2
SLOPE.lin	=SLOPE(A1:A3,B1:B3)	A1=n:2;A2=n:3;A3=n:4;B1=n:1;B2=n:2;B3=n:3	n:1
INTERCEPT.lin	=INTERCEPT(A1:A3,B1:B3)	A1=n:2;A2=n:3;A3=n:4;B1=n:1;B2=n:2;B3=n:3	n:1
FORECAST.lin	=FORECAST(1,A1:A3,B1:B3)	A1=n:2;A2=n:3;A3=n:4;B1=n:1;B2=n:2;B3=n:3	n:2
FORECAST.LINEAR.lin	=FORECAST.LINEAR(1,A1:A3,B1:B3)	A1=n:2;A2=n:3;A3=n:4;B1=n:1;B2=n:2;B3=n:3	n:2
CORREL.lin	=CORREL(A1:A3,B1:B3)	A1=n:2;A2=n:3;A3=n:4;B1=n:1;B2=n:2;B3=n:3	n:1
PEARSON.lin	=PEARSON(A1:A3,B1:B3)	A1=n:2;A2=n:3;A3=n:4;B1=n:1;B2=n:2;B3=n:3	n:1
RSQ.lin	=RSQ(A1:A3,B1:B3)	A1=n:2;A2=n:3;A3=n:4;B1=n:1;B2=n:2;B3=n:3	n:1
COVAR.lin	=COVAR(A1:A3,B1:B3)	A1=n:2;A2=n:3;A3=n:4;B1=n:1;B2=n:2;B3=n:3	n:0.6666666666666666
COVARIANCE.P.lin	=COVARIANCE.P(A1:A3,B1:B3)	A1=n:2;A2=n:3;A3=n:4;B1=n:1;B2=n:2;B3=n:3	n:0.6666666666666666
COVARIANCE.S.lin	=COVARIANCE.S(A1:A3,B1:B3)	A1=n:2;A2=n:3;A3=n:4;B1=n:1;B2=n:2;B3=n:3	n:1
RANK.AVG.tie	=RANK.AVG(2,A1:A4)	A1=n:1;A2=n:2;A3=n:2;A4=n:4	n:2.5
PERCENTRANK.INC.mid	=PERCENTRANK.INC(A1:A3,2)	A1=n:1;A2=n:2;A3=n:3	n:0.5
PERCENTRANK.mid	=PERCENTRANK(A1:A3,2)	A1=n:1;A2=n:2;A3=n:3	n:0.5
PERCENTRANK.EXC.mid	=PERCENTRANK.EXC(A1:A5,3)	A1=n:1;A2=n:2;A3=n:3;A4=n:4;A5=n:5	n:0.5
SLN.basic	=SLN(30000,7500,10)		n:2250
PV.annuity	=PV(0.1,10,100)		n:-614.456710570
DOLLARDE.16	=DOLLARDE(1.02,16)		n:1.125
EFFECT.quarter	=EFFECT(0.0525,4)		n:0.05354266737025642
IMSUM.34_12	=IMSUM("3+4i","1+2i")		s:4+6i
GAMMA.5	=GAMMA(5)		n:24
FISHER.75	=FISHER(0.75)		n:0.9729550745276566
PHI.0	=PHI(0)		n:0.3989422804014327
SHEET.current	=SHEET()		n:1
AREAS.a1	=AREAS(A1)		n:1
HYPERLINK.friendly	=HYPERLINK("http://x","click")		s:click
LENB.hello	=LENB("hello")		n:5
WRAPCOLS.rows	=ROWS(WRAPCOLS(A1:A4,2))	A1=n:1;A2=n:2;A3=n:3;A4=n:4	n:2
EXPAND.rows	=ROWS(EXPAND(A1,3))	A1=n:1	n:3
TRIMRANGE.rows	=ROWS(TRIMRANGE(A1:A5))	A2=n:1;A3=n:2	n:2
FLATTEN.rows	=ROWS(FLATTEN(A1:B2))	A1=n:1;B1=n:2;A2=n:3;B2=n:4	n:4
ARRAYTOTEXT.concise	=ARRAYTOTEXT(A1:B1)	A1=n:1;B1=n:2	s:1, 2
MDETERM.2x2	=MDETERM(A1:B2)	A1=n:1;B1=n:2;A2=n:3;B2=n:4	n:-2
MUNIT.rows	=ROWS(MUNIT(3))		n:3
DSUM.height	=DSUM(A1:C4,"Height",A6:A7)	A1=s:Tree;B1=s:Height;C1=s:Age;A2=s:Apple;B2=n:18;C2=n:20;A3=s:Pear;B3=n:12;C3=n:12;A4=s:Cherry;B4=n:13;C4=n:14;A6=s:Tree;A7=s:Apple	n:18
BINOM.DIST.pmf	=BINOM.DIST(2,5,0.5,FALSE)		n:0.3125
GAMMA.DIST.cdf	=GAMMA.DIST(1,1,1,TRUE)		n:0.6321205588285577
WEIBULL.DIST.cdf	=WEIBULL.DIST(1,1,1,TRUE)		n:0.6321205588285577
LOGNORM.INV.median	=LOGNORM.INV(0.5,0,1)		n:1
MODE.MULT.rows	=ROWS(MODE.MULT(1,2,2,3,3))		n:2
JOIN.dash	=JOIN("-","a","b","c")		s:a-b-c
ENCODEURL.space	=ENCODEURL("a b")		s:a%20b
ASC.fullwidth	=ASC(UNICHAR(65313))		s:A
SPLIT.pair	=ARRAYTOTEXT(SPLIT("a-b","-"))		s:a, b
